geoid10,dscore_2013,ascore_2013,pscore_2013,total_score,pop,dist,acre_pp,park_pp
371830523023031,2,5,5,12,190,1.511084,0,0
371830503002013,1,2,2,5,170,0.501335,0.022194,0.001137
371830537093029,4,5,5,14,14,2.598551,0,0
371830528064051,2,5,5,12,10,1.377732,0,0
371830525032008,2,4,5,11,45,0.924426,0.004523,9.4e-05
371830527061008,2,4,4,10,95,1.219261,0.011337,0.000103
371830525041000,2,4,4,10,90,0.975849,0.007505,0.00024
371830505002007,1,4,3,8,25,0.500361,0.004996,0.000575
371830540011003,1,4,4,9,38,0.326011,0.005553,0.000163
371830540163002,2,5,5,12,47,1.33774,0,0
371830528062039,3,5,5,13,78,2.163884,0,0
371830524093005,1,5,4,10,226,0.27126,0.001195,0.000132
371830509001009,1,2,1,4,212,0.178009,0.025559,0.001523
371830507001023,1,4,1,6,29,0.148972,0.010436,0.001831
371830540141052,2,5,5,12,46,1.46232,0,0
371830528033014,3,5,5,13,735,1.64183,0,0
371830523023001,2,4,4,10,406,0.889482,0.00545,0.000141
371830526011006,2,3,4,9,61,0.817437,0.018318,0.000465
371830536101070,1,4,4,9,40,0.557399,0.001964,0.000197
371830521021045,2,4,4,10,17,0.982578,0.006846,0.000189
371830542071087,3,5,5,13,53,1.648704,0,0
371830523013006,2,1,5,8,20,1.19311,0.033889,7.2e-05
371830541054024,2,4,4,10,436,0.766922,0.011337,0.000103
371830528062043,3,5,5,13,45,2.178923,0,0
371830514005022,1,4,3,8,13,0.165563,0.0067,0.000533
371830528072075,2,4,4,10,85,0.703,0.010303,0.000189
371830528072066,2,4,4,10,15,0.801556,0.010303,0.000189
371830527072001,2,4,4,10,59,1.052239,0.011337,0.000103
371830540122001,1,4,4,9,51,0.63193,0.007237,0.000104
371830540131024,3,5,5,13,122,1.874264,0,0
371830505001009,1,4,2,7,34,0.15071,0.006289,0.001025
371830524063018,4,5,5,14,71,2.518328,0,0
371830541055013,2,5,5,12,74,1.482535,0,0
371830537252001,2,5,5,12,2,1.328071,0,0
371830515022007,1,4,4,9,69,0.123599,0.00418,0.000402
371830541041044,2,4,4,10,232,0.932203,0.003023,0.000139
371830537091013,3,5,5,13,60,1.595089,0,0
371830540071006,2,5,5,12,49,1.301734,0,0
371830545001015,1,3,3,7,45,0.262712,0.020215,0.000854
371830506003026,1,4,1,6,12,0.233448,0.005033,0.001592
371830518001011,1,4,4,9,57,0.354979,0.004919,0.000462
371830536101020,3,5,5,13,32,1.725324,0,0
371830537151005,1,3,4,8,75,0.102223,0.012254,0.000211
371830541102035,5,5,5,15,6,3.778518,0,0
371830504002001,1,4,2,7,63,0.146462,0.004227,0.001137
371830537073001,1,5,4,10,219,0.259843,3.5e-05,0.000258
371830525032015,2,4,5,11,54,1.174257,0.004523,9.4e-05
371830510002010,1,2,1,4,14,0.087893,0.025559,0.001523
371830508002006,1,4,2,7,189,0.39402,0.010117,0.00111
371830515012014,2,4,3,9,33,0.74011,0.00533,0.000602
371830510001005,1,3,3,7,163,0.520214,0.021593,0.000816
371830541062050,1,3,4,8,21,0.585736,0.016556,0.000185
371830540151026,3,5,5,13,131,1.588229,0,0
371830542071062,3,5,5,13,64,1.932289,0,0
371830506003022,1,4,1,6,16,0.209701,0.005871,0.001759
371830537073010,2,4,4,10,23,0.675846,0.005588,0.000292
371830524072010,1,1,4,6,365,0.551666,0.035672,0.00032
371830541131000,5,5,5,15,125,3.454068,0,0
371830540132043,2,5,5,12,126,1.4238,0,0
371830501001063,1,2,1,4,6,0.101376,0.023582,0.002031
371830501001046,1,4,1,6,37,0.162348,0.005637,0.001884
371830524011073,2,4,4,10,6,1.108137,0.00124,0.000144
371830545003018,3,5,5,13,15,1.694199,0,0
371830541053005,3,5,5,13,22,1.786172,0,0
371830537122017,1,4,5,10,10,0.157181,0.004246,8.2e-05
371830527011017,1,4,4,9,68,0.018509,0.002575,0.000102
371830527011006,1,4,4,9,85,0.458613,0.002575,0.000102
371830540151016,2,4,4,10,45,1.077943,0.003023,0.000139
371830537231010,2,4,4,10,66,0.793638,0.010065,0.000331
371830540143012,3,5,5,13,105,1.623505,0,0
371830526011009,2,3,4,9,40,0.814939,0.014256,0.000338
371830540141022,1,4,4,9,130,0.618217,0.001332,0.00017
371830536101021,3,5,5,13,138,1.701946,0,0
371830515011030,2,4,4,10,126,0.659729,0.003074,0.000352
371830540181017,2,4,5,11,2,1.008448,0.002298,8.6e-05
371830541041013,3,5,5,13,123,1.680184,0,0
371830536102115,1,4,4,9,39,0.331923,0.001964,0.000197
371830540132034,2,5,5,12,3,1.376348,0,0
371830540041006,1,4,4,9,189,0.362107,0.007237,0.000104
371830540062006,1,4,4,9,43,0.54482,0.005588,0.000292
371830524061005,2,5,5,12,49,1.493949,0,0
371830514002002,1,4,3,8,42,0.44897,0.006656,0.000573
371830530081041,2,1,5,8,19,1.265816,0.033889,7.2e-05
371830541054001,2,4,4,10,9,1.25825,0.011337,0.000103
371830537071023,1,5,4,10,82,0.522587,0.001169,0.000134
371830541062036,2,4,4,10,2,0.701,0.006846,0.000189
371830501001059,1,2,2,5,1,0.188145,0.02241,0.001287
371830541063005,2,3,4,9,85,0.931893,0.016556,0.000185
371830506003013,1,4,1,6,71,0.11179,0.008919,0.001457
371830540082016,2,4,4,10,258,1.145813,0.003023,0.000139
371830537252028,3,5,5,13,50,1.746205,0,0
371830514001006,1,4,3,8,26,0.109453,0.005007,0.000651
371830504002015,1,4,1,6,37,0.225964,0.004841,0.001516
371830537073002,1,4,4,9,72,0.100336,0.01112,0.000205
371830521012016,1,4,4,9,22,0.32831,0.010931,0.000513
371830514004000,1,4,3,8,59,0.431612,0.007505,0.000675
371830540141008,3,5,5,13,273,1.709565,0,0
371830537152012,2,3,4,9,185,1.062653,0.012254,0.000211
371830540141095,2,4,4,10,85,0.65411,0.001332,0.00017
371830515012010,1,4,3,8,72,0.574775,0.008815,0.000626
371830505002016,1,4,3,8,20,0.435675,0.005561,0.000752
371830514003005,1,4,3,8,24,0.490246,0.005624,0.000621
371830520012009,2,4,2,8,4,0.671625,0.00289,0.00103
371830536101056,2,5,5,12,46,1.466585,0,0
371830541052008,2,5,5,12,29,1.440252,0,0
371830540132026,2,4,4,10,45,1.181107,0.002632,0.000288
371830540122007,1,4,4,9,66,0.237819,0.007237,0.000104
371830528062026,3,5,5,13,39,1.757057,0,0
371830541063027,2,3,4,9,4,0.975039,0.016556,0.000185
371830541063022,1,3,4,8,12,0.251522,0.016556,0.000185
371830540083007,2,4,4,10,36,1.190246,0.003023,0.000139
371830515011012,1,4,3,8,27,0.583752,0.008354,0.000659
371830519003008,1,4,4,9,53,0.131268,0.005013,0.000387
371830537241038,3,5,5,13,70,1.748089,0,0
371830527073015,2,4,4,10,40,1.026057,0.011337,0.000103
371830519001015,1,4,4,9,77,0.40426,0.001756,0.000516
371830530081028,2,5,5,12,569,1.483961,0,0
371830530081037,2,1,5,8,8,1.199402,0.033889,7.2e-05
371830540071013,2,5,4,11,41,1.256477,3.5e-05,0.000128
371830537143008,2,5,5,12,417,1.307803,0,0
371830511012011,2,4,4,10,109,0.779269,0.002044,0.000235
371830527051020,2,4,4,10,179,1.060932,0.004763,0.000215
371830503001023,1,4,3,8,40,0.06161,0.007202,0.0008
371830540171030,2,4,4,10,228,1.057149,0.007237,0.000104
371830538071023,2,4,4,10,92,0.752424,0.010065,0.000201
371830541053020,4,5,5,14,156,2.542851,0,0
371830528061014,2,4,4,10,13,1.051565,0.010303,0.000189
371830515012028,1,4,4,9,89,0.564548,0.005651,0.000487
371830540132011,3,5,5,13,76,1.580953,0,0
371830530081027,2,1,5,8,74,1.059172,0.033889,7.2e-05
371830501001066,1,2,1,4,8,0.002903,0.023582,0.002031
371830514002003,1,4,3,8,54,0.386762,0.006656,0.000573
371830537141006,2,4,5,11,69,1.072774,0.004246,8.2e-05
371830537181019,4,5,5,14,47,2.878955,0,0
371830538082021,3,5,5,13,8,1.559632,0,0
371830510002026,1,2,2,5,55,0.064802,0.025013,0.001274
371830537221005,2,5,5,12,367,1.362591,0,0
371830541043021,2,1,4,7,75,0.907506,0.03317,0.0002
371830542071041,3,5,5,13,56,2.249032,0,0
371830527043014,1,4,4,9,125,0.322738,0.004763,0.000215
371830525042013,2,4,4,10,24,0.754681,0.007505,0.00024
371830528072023,2,4,4,10,32,0.880251,0.010303,0.000189
371830527071001,2,4,4,10,233,1.236812,0.011337,0.000103
371830538082020,3,5,5,13,41,1.605698,0,0
371830537181016,5,5,5,15,1,4.114191,0,0
371830537211025,3,5,5,13,27,2.231046,0,0
371830501001031,1,2,1,4,182,0.534903,0.022685,0.001452
371830537211039,2,4,4,10,17,1.009291,0.010065,0.000201
371830526011029,1,4,4,9,34,0.365663,0.004062,0.000127
371830506003004,1,4,1,6,34,0.06765,0.009823,0.001905
371830510001002,1,3,3,7,18,0.378388,0.021651,0.000886
371830524093008,2,5,5,12,907,0.768909,1.9e-05,5.2e-05
371830508001004,1,4,2,7,30,0.227807,0.007541,0.001158
371830540131034,2,1,4,7,52,1.224685,0.076914,0.000488
371830537141011,2,4,5,11,41,0.667375,0.004246,8.2e-05
371830540041002,2,4,4,10,108,0.662068,0.009896,0.000173
371830525051013,2,3,4,9,173,1.158896,0.015238,0.00041
371830541054008,2,4,4,10,215,0.728824,0.011337,0.000103
371830540071003,2,5,4,11,62,1.04371,3.5e-05,0.000128
371830506003008,1,4,1,6,49,0.17408,0.00561,0.001793
371830541052030,3,5,5,13,36,1.752959,0,0
371830521011006,2,4,4,10,6,0.709059,0.009606,0.000363
371830540151045,1,4,4,9,5,0.567621,0.003023,0.000139
371830537241070,2,5,5,12,106,1.351922,0,0
371830540043015,2,5,5,12,336,1.342795,0,0
371830515012019,2,4,3,9,53,0.772772,0.00533,0.000602
